_id,title,numRating,averageRating,totalVideoLengthInSeconds,createdAt,numSoldTickets,price,preOrderedPrice,publishTime,groupId,groupTitle,groupName,subGroupId,subGroupTitle,subGroupName
60cb0a440dabda80019d5f7c,遠距工作力：溝通協作到自我管理,463,4.93,5170,2021-06-17T08:39:32.000Z,8320,0,0,2021-06-30T04:00:35.311Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5c220df24e32a8001facf496,更多職場技能,more-career-skills
56f503104e3ef90900b82b94,怪獸工場 - 頭部構成與造型設計篇,22,4.86,14006,2016-03-25T09:21:20.000Z,654,1500,1000,2016-05-15T06:06:02.000Z,5c09e9af1f7e290020b4bf33,藝術,art,5c09e9e61f7e290020b4bf37,電腦繪圖,computer-graphics
571475dc234ded0a00a40d56,水彩插畫師皮忠 - 鯨魚初階課,21,4.95,14094,2016-04-18T05:51:24.000Z,257,1600,1280,2019-02-12T04:00:29.611Z,5c09e9af1f7e290020b4bf33,藝術,art,5c1760bd11b27900205c554a,繪畫與插畫,drawing-and-illustration
5e4237b75b02f60024599973,圖解表達力：用心智圖思維，簡化複雜問題,93,4.96,24220,2020-02-11T05:12:23.000Z,1209,3600,1500,2021-05-25T03:59:37.464Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5c25dfd720d4eb001fa3e141,文書處理,word-processing-tool
5e46443f5b02f600245abdde,服飾批貨課：獨門批購心法讓你低庫存高利潤,4,5.0,19859,2020-02-14T06:54:55.000Z,64,4500,2800,2020-10-31T04:00:49.731Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5c0a19001f7e290020b4c5be,創業,entrepreneurship
585eb576f108e00800c21f76,影片製作入門10堂課 - 攝影、剪輯、腳本,96,4.74,6737,2016-12-24T17:50:46.000Z,1829,1400,700,2017-04-12T04:34:34.223Z,5c09e75c1f7e290020b4bee1,攝影,photography,5ef1a7e77e05eb3c0ba07101,動態攝影,videography
5eb520a88e965359dd562d98,為什麼你的影音內容，OTT 平台不買單？,0,0.0,10273,2020-05-08T09:04:40.000Z,61,1300,900,2020-07-21T03:59:22.042Z,5c09e75c1f7e290020b4bee1,攝影,photography,5fc9a05e0b529060ff5197f8,影視創作,film-production
5f880c118135f44ba7bf4522,侯吉諒書法講堂：從零開始，學寫一手好字,11,5.0,18440,2020-10-15T08:45:05.000Z,271,2400,1880,2021-01-25T04:04:18.841Z,5c09e9af1f7e290020b4bf33,藝術,art,5c09eb2e1f7e290020b4bf69,手寫字,hand-writing
5eb657d7df2168001ad29aba,基礎情境練習課：建立你的英文文法邏輯腦,12,5.0,31471,2020-05-09T07:12:23.000Z,456,2280,1500,2021-01-06T04:00:22.804Z,5c09dda01f7e290020b4bd53,語言,language,5c09ddc01f7e290020b4bd54,英文,english
5ebce244df2168d2c1d83995,職場必備的批判思考力：沉思力篇,10,4.9,5549,2020-05-14T06:16:36.000Z,345,499,399,2020-08-31T03:48:46.737Z,5c0a04671f7e290020b4c282,人文,humanities,5c21fb834e32a8001facf267,更多人文,more-humanities
5b2088a6567cc1001e40f891,韓式豆沙裱花-特殊造型蛋糕,5,5.0,14858,2018-06-13T02:59:50.000Z,107,2600,2200,2019-01-02T04:08:55.507Z,5c0a230e1f7e290020b4c709,手作,handmade,5c0a298b1f7e290020b4c87c,手作小物,handmade-crafts
6053080dab70de094793c41c,擺脫職涯卡關！聚焦你的職場絕對優勢,44,4.93,11542,2021-03-18T07:58:05.000Z,1217,2980,1980,2021-05-28T04:00:50.147Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5c0a18b51f7e290020b4c5b9,求職,job-application
5db8e2c321050f00219beda1,GTM 建置術：數位追蹤必備，代碼設定神器,34,4.94,9452,2019-10-30T01:09:23.000Z,341,2400,1800,2020-02-26T03:55:20.626Z,5c0a04ab1f7e290020b4c28b,行銷,marketing,5c0a052d1f7e290020b4c293,數位行銷,digital-marketing
5b8a4d1d3aeadb001e5cf364,藍曬技法 - 初學者的氰版顯影  ,8,5.0,7055,2018-09-01T08:26:05.000Z,167,999,799,2018-12-17T04:05:36.323Z,5c0a230e1f7e290020b4c709,手作,handmade,5c0a29151f7e290020b4c83c,手工印刷,manual-printing
60a75465029722874f0c1f16,Python 爬蟲入門特訓 ─ 資料抓取與處理應用,7,5.0,34646,2021-05-21T06:34:13.000Z,454,1680,1200,2021-09-28T04:00:03.577Z,5c0a05491f7e290020b4c294,程式,programming,5f474994c1b61e09c127a69e,更多程式,more-programming
5d3583687f99a20021f7ebaf,產品思維：Spotify 產品經理帶你快速入門,60,4.62,15042,2019-07-22T09:35:36.000Z,808,1800,1500,2020-03-11T04:01:42.203Z,5c0a15661f7e290020b4c571,職場技能,career-skills,5ef1aa01be237d896f82c8bf,產品設計,product-design
586a2519f108e00800c26e61,App Inventor 2 入門特訓,8,4.38,8484,2017-01-02T10:02:01.000Z,245,1000,500,2017-03-19T01:02:14.892Z,5c0a05491f7e290020b4c294,程式,programming,5c0a07e91f7e290020b4c2d9,手機程式開發,mobile-development
